SlotID	RoundsPlayed	RoundsWon	CreditsUsed	CreditsWon	PayBackRate	HitRate
Slotdata	55	38	165	144.444	0.875421	0.690909
Slotdata	56	39	168	146.296	0.870811	0.696429
Slotdata	57	40	171	150	0.877193	0.701754
Slotdata	58	40	174	150	0.862069	0.689655
Slotdata	59	41	177	151.852	0.85792	0.694915
Slotdata	60	41	180	151.852	0.843621	0.683333
Slotdata	61	41	183	151.852	0.829792	0.672131
Slotdata	62	42	186	153.704	0.826364	0.677419
Slotdata	63	43	189	155.556	0.823045	0.68254
Slotdata	64	44	192	157.407	0.81983	0.6875
Slotdata	65	45	195	159.259	0.816714	0.692308
Slotdata	66	46	198	161.111	0.813692	0.69697
Slotdata	67	46	201	161.111	0.801548	0.686567
Slotdata	68	46	204	161.111	0.78976	0.676471
Slotdata	69	47	207	162.963	0.787261	0.681159
Slotdata	70	47	210	162.963	0.776014	0.671429
Slotdata	71	47	213	162.963	0.765084	0.661972
Slotdata	72	47	216	162.963	0.754458	0.652778
Slotdata	73	48	219	166.667	0.761035	0.657534
Slotdata	74	49	222	168.519	0.759092	0.662162
Slotdata	75	50	225	170.37	0.757202	0.666667
Slotdata	76	51	228	174.074	0.763483	0.671053
Slotdata	77	51	231	174.074	0.753567	0.662338
Slotdata	78	52	234	175.926	0.75182	0.666667
Slotdata	79	52	237	175.926	0.742303	0.658228
Slotdata	80	52	240	175.926	0.733025	0.65
Slotdata	81	53	243	179.63	0.739217	0.654321
Slotdata	82	54	246	181.481	0.73773	0.658537
Slotdata	83	54	249	181.481	0.728841	0.650602
Slotdata	84	55	252	185.185	0.734862	0.654762
Slotdata	85	56	255	187.037	0.733479	0.658824
Slotdata	86	57	258	188.889	0.732127	0.662791
Slotdata	87	58	261	192.593	0.737903	0.666667
Slotdata	88	59	264	194.444	0.736532	0.670455
Slotdata	89	60	267	196.296	0.735192	0.674157
Slotdata	90	61	270	246.296	0.912209	0.677778
Slotdata	91	62	273	248.148	0.908968	0.681319
Slotdata	92	63	276	250	0.905797	0.684783
Slotdata	93	64	279	253.704	0.909332	0.688172
Slotdata	94	65	282	255.556	0.906225	0.691489
Slotdata	95	66	285	257.407	0.903184	0.694737
Slotdata	96	67	288	307.407	1.06739	0.697917
Slotdata	97	68	291	309.259	1.06275	0.701031
Slotdata	98	69	294	311.111	1.0582	0.704082
Slotdata	99	70	297	312.963	1.05375	0.707071
Slotdata	100	71	300	314.815	1.04938	0.71
Slotdata	101	72	303	316.667	1.0451	0.712871
Slotdata	102	72	306	316.667	1.03486	0.705882
Slotdata	103	73	309	318.519	1.0308	0.708738
Slotdata	104	73	312	318.519	1.02089	0.701923
Slotdata	105	74	315	320.37	1.01705	0.704762
Slotdata	106	74	318	320.37	1.00745	0.698113
Slotdata	107	75	321	322.222	1.00381	0.700935
Slotdata	108	75	324	322.222	0.994513	0.694444
Slotdata	109	75	327	322.222	0.985389	0.688073
Slotdata	110	76	330	324.074	0.982043	0.690909
Slotdata	111	76	333	324.074	0.973195	0.684685
Slotdata	112	76	336	324.074	0.964506	0.678571
Slotdata	113	76	339	324.074	0.955971	0.672566
Slotdata	114	76	342	324.074	0.947585	0.666667
Slotdata	115	77	345	325.926	0.944713	0.669565
Slotdata	116	78	348	329.63	0.947212	0.672414
Slotdata	117	78	351	329.63	0.939116	0.666667
Slotdata	118	79	354	331.481	0.936388	0.669492
Slotdata	119	79	357	331.481	0.92852	0.663866
Slotdata	120	79	360	331.481	0.920782	0.658333
Slotdata	121	80	363	333.333	0.918274	0.661157
Slotdata	122	81	366	337.037	0.920866	0.663934
Slotdata	123	81	369	337.037	0.91338	0.658537
Slotdata	124	82	372	338.889	0.910992	0.66129
Slotdata	125	83	375	340.741	0.908642	0.664
Slotdata	126	84	378	342.593	0.90633	0.666667
Slotdata	127	85	381	344.444	0.904054	0.669291
Slotdata	128	85	384	344.444	0.896991	0.664062
Slotdata	129	86	387	346.296	0.894822	0.666667
Slotdata	130	86	390	346.296	0.887939	0.661538
Slotdata	131	86	393	346.296	0.881161	0.656489
Slotdata	132	86	396	346.296	0.874486	0.651515
Slotdata	133	87	399	348.148	0.872552	0.654135
Slotdata	134	87	402	348.148	0.86604	0.649254
Slotdata	135	88	405	350	0.864198	0.651852
Slotdata	136	88	408	350	0.857843	0.647059
Slotdata	137	88	411	350	0.851582	0.642336
Slotdata	138	89	414	353.704	0.854357	0.644928
Slotdata	139	90	417	355.556	0.852651	0.647482
Slotdata	140	91	420	357.407	0.85097	0.65
Slotdata	141	91	423	357.407	0.844935	0.64539
Slotdata	142	92	426	359.259	0.843332	0.647887
Slotdata	143	93	429	362.963	0.846068	0.65035
Slotdata	144	93	432	362.963	0.840192	0.645833
Slotdata	145	93	435	362.963	0.834398	0.641379
Slotdata	146	94	438	364.815	0.832911	0.643836
Slotdata	147	95	441	368.519	0.835643	0.646259
Slotdata	148	96	444	370.37	0.834168	0.648649
Slotdata	149	97	447	372.222	0.832712	0.651007
Slotdata	150	98	450	374.074	0.831276	0.653333
Slotdata	151	98	453	374.074	0.825771	0.649007
Slotdata	152	99	456	375.926	0.824399	0.651316
Slotdata	153	100	459	377.778	0.823045	0.653595
Slotdata	154	100	462	377.778	0.817701	0.649351
Slotdata	155	101	465	381.481	0.82039	0.651613
Slotdata	156	101	468	381.481	0.815131	0.647436
Slotdata	157	102	471	385.185	0.817803	0.649682
Slotdata	158	102	474	385.185	0.812627	0.64557
Slotdata	159	103	477	387.037	0.811398	0.647799
Slotdata	160	103	480	387.037	0.806327	0.64375
Slotdata	161	104	483	390.741	0.808987	0.645963
Slotdata	162	104	486	390.741	0.803993	0.641975
Slotdata	163	105	489	392.593	0.802848	0.644172
Slotdata	164	105	492	392.593	0.797952	0.640244
Slotdata	165	106	495	396.296	0.800599	0.642424
Slotdata	166	107	498	398.148	0.799494	0.644578
Slotdata	167	108	501	400	0.798403	0.646707
Slotdata	168	109	504	405.556	0.804674	0.64881
Slotdata	169	110	507	409.259	0.807217	0.650888
Slotdata	170	111	510	411.111	0.8061	0.652941
Slotdata	171	111	513	411.111	0.801386	0.649123
Slotdata	172	112	516	412.963	0.800316	0.651163
Slotdata	173	113	519	414.815	0.799258	0.653179
Slotdata	174	114	522	416.667	0.798212	0.655172
Slotdata	175	114	525	416.667	0.793651	0.651429
Slotdata	176	115	528	418.519	0.792649	0.653409
Slotdata	177	116	531	420.37	0.791658	0.655367
Slotdata	178	117	534	422.222	0.790678	0.657303
Slotdata	179	118	537	424.074	0.78971	0.659218
Slotdata	180	119	540	427.778	0.792181	0.661111
Slotdata	181	119	543	427.778	0.787804	0.657459
Slotdata	182	120	546	429.63	0.786867	0.659341
Slotdata	183	121	549	431.481	0.785941	0.661202
Slotdata	184	121	552	431.481	0.781669	0.657609
Slotdata	185	122	555	433.333	0.780781	0.659459
Slotdata	186	122	558	433.333	0.776583	0.655914
Slotdata	187	123	561	435.185	0.775731	0.657754
Slotdata	188	124	564	437.037	0.774888	0.659574
Slotdata	189	125	567	438.889	0.774054	0.661376
Slotdata	190	125	570	438.889	0.769981	0.657895
Slotdata	191	126	573	488.889	0.853209	0.659686
Slotdata	192	127	576	490.741	0.85198	0.661458
Slotdata	193	127	579	490.741	0.847566	0.658031
Slotdata	194	127	582	490.741	0.843197	0.654639
Slotdata	195	128	585	492.593	0.842039	0.65641
Slotdata	196	129	588	494.444	0.840892	0.658163
Slotdata	197	130	591	496.296	0.839757	0.659898
Slotdata	198	130	594	496.296	0.835516	0.656566
Slotdata	199	130	597	496.296	0.831317	0.653266
Slotdata	200	130	600	496.296	0.82716	0.65
Slotdata	201	131	603	498.148	0.826116	0.651741
Slotdata	202	132	606	500	0.825083	0.653465
Slotdata	203	133	609	501.852	0.824059	0.655172
Slotdata	204	134	612	503.704	0.823045	0.656863
Slotdata	205	135	615	507.407	0.825053	0.658537
Slotdata	206	136	618	509.259	0.824044	0.660194
Slotdata	207	137	621	511.111	0.823045	0.661836
Slotdata	208	138	624	514.815	0.825024	0.663462
Slotdata	209	139	627	564.815	0.900821	0.665072
Slotdata	210	140	630	614.815	0.975897	0.666667
Slotdata	211	141	633	616.667	0.974197	0.668246
Slotdata	212	141	636	616.667	0.969602	0.665094
Slotdata	213	141	639	616.667	0.96505	0.661972
Slotdata	214	142	642	620.37	0.966309	0.663551
Slotdata	215	142	645	620.37	0.961815	0.660465
Slotdata	216	143	648	622.222	0.960219	0.662037
Slotdata	217	143	651	622.222	0.955795	0.658986
Slotdata	218	144	654	624.074	0.954242	0.66055
Slotdata	219	144	657	624.074	0.949884	0.657534
Slotdata	220	145	660	625.926	0.948373	0.659091
Slotdata	221	146	663	629.63	0.949668	0.660634
Slotdata	222	147	666	631.481	0.94817	0.662162
Slotdata	223	148	669	633.333	0.946687	0.663677
Slotdata	224	148	672	633.333	0.94246	0.660714
Slotdata	225	149	675	635.185	0.941015	0.662222
Slotdata	226	150	678	638.889	0.942314	0.663717
Slotdata	227	151	681	640.741	0.940882	0.665198
Slotdata	228	151	684	640.741	0.936755	0.662281
Slotdata	229	151	687	640.741	0.932665	0.659389
Slotdata	230	152	690	642.593	0.931294	0.66087
Slotdata	231	153	693	646.296	0.932606	0.662338
Slotdata	232	154	696	648.148	0.931247	0.663793
Slotdata	233	154	699	648.148	0.927251	0.660944
Slotdata	234	155	702	651.852	0.928564	0.662393
Slotdata	235	155	705	651.852	0.924613	0.659574
Slotdata	236	156	708	653.704	0.92331	0.661017
Slotdata	237	156	711	653.704	0.919414	0.658228
Slotdata	238	157	714	655.556	0.918145	0.659664
Slotdata	239	158	717	657.407	0.916886	0.661088
Slotdata	240	159	720	659.259	0.915638	0.6625
Slotdata	241	159	723	659.259	0.911839	0.659751
Slotdata	242	160	726	661.111	0.910621	0.661157
Slotdata	243	161	729	664.815	0.911954	0.662551
Slotdata	244	162	732	666.667	0.910747	0.663934
Slotdata	245	163	735	668.519	0.909549	0.665306
Slotdata	246	164	738	670.37	0.908361	0.666667
Slotdata	247	165	741	672.222	0.907182	0.668016
Slotdata	248	166	744	674.074	0.906014	0.669355
Slotdata	249	166	747	674.074	0.902375	0.666667
Slotdata	250	166	750	674.074	0.898765	0.664
Slotdata	251	166	753	674.074	0.895185	0.661355
Slotdata	252	166	756	674.074	0.891632	0.65873
Slotdata	253	167	759	679.63	0.895428	0.660079
Slotdata	254	168	762	681.481	0.894333	0.661417
Slotdata	255	168	765	681.481	0.890825	0.658824
Slotdata	256	169	768	683.333	0.889757	0.660156
Slotdata	257	170	771	687.037	0.891099	0.661479
Slotdata	258	171	774	692.593	0.894822	0.662791
Slotdata	259	171	777	692.593	0.891368	0.660232
Slotdata	260	172	780	694.444	0.890313	0.661538
Slotdata	261	173	783	696.296	0.889267	0.662835
Slotdata	262	173	786	696.296	0.885873	0.660305
Slotdata	263	173	789	696.296	0.882505	0.657795
Slotdata	264	174	792	698.148	0.8815	0.659091
Slotdata	265	175	795	701.852	0.882833	0.660377
Slotdata	266	175	798	701.852	0.879514	0.657895
Slotdata	267	175	801	701.852	0.87622	0.655431
Slotdata	268	175	804	701.852	0.87295	0.652985
Slotdata	269	175	807	701.852	0.869705	0.650558
Slotdata	270	176	810	705.556	0.871056	0.651852
Slotdata	271	176	813	705.556	0.867842	0.649446
Slotdata	272	177	816	707.407	0.866921	0.650735
Slotdata	273	178	819	711.111	0.868268	0.652015
Slotdata	274	178	822	711.111	0.865099	0.649635
Slotdata	275	178	825	711.111	0.861953	0.647273
Slotdata	276	179	828	714.815	0.863303	0.648551
Slotdata	277	180	831	718.519	0.864643	0.649819
Slotdata	278	181	834	720.37	0.863753	0.651079
Slotdata	279	181	837	720.37	0.860658	0.648746
Slotdata	280	182	840	725.926	0.864198	0.65
Slotdata	281	183	843	727.778	0.863319	0.651246
Slotdata	282	183	846	727.778	0.860257	0.648936
Slotdata	283	184	849	731.481	0.86158	0.650177
Slotdata	284	184	852	731.481	0.858546	0.647887
Slotdata	285	185	855	735.185	0.859866	0.649123
Slotdata	286	185	858	735.185	0.856859	0.646853
Slotdata	287	185	861	735.185	0.853874	0.644599
Slotdata	288	185	864	735.185	0.850909	0.642361
Slotdata	289	185	867	735.185	0.847964	0.640138
Slotdata	290	186	870	738.889	0.849298	0.641379
Slotdata	291	186	873	738.889	0.846379	0.639175
Slotdata	292	187	876	742.593	0.847708	0.640411
Slotdata	293	188	879	748.148	0.851136	0.641638
Slotdata	294	189	882	750	0.85034	0.642857
Slotdata	295	189	885	750	0.847458	0.640678
Slotdata	296	190	888	751.852	0.84668	0.641892
Slotdata	297	190	891	751.852	0.843829	0.639731
Slotdata	298	191	894	753.704	0.843069	0.64094
Slotdata	299	192	897	755.556	0.842314	0.64214
Slotdata	300	193	900	759.259	0.843621	0.643333
Slotdata	301	194	903	761.111	0.842869	0.644518
Slotdata	302	194	906	761.111	0.840078	0.642384
Slotdata	303	195	909	762.963	0.839343	0.643564
Slotdata	304	196	912	764.815	0.838613	0.644737
Slotdata	305	197	915	768.519	0.839911	0.645902
Slotdata	306	198	918	770.37	0.839183	0.647059
Slotdata	307	199	921	772.222	0.838461	0.648208
Slotdata	308	199	924	772.222	0.835738	0.646104
Slotdata	309	199	927	772.222	0.833034	0.644013
Slotdata	310	199	930	772.222	0.830346	0.641935
Slotdata	311	200	933	774.074	0.829661	0.643087
Slotdata	312	201	936	777.778	0.830959	0.644231
Slotdata	313	202	939	779.63	0.830276	0.645367
Slotdata	314	203	942	783.333	0.831564	0.646497
Slotdata	315	203	945	783.333	0.828924	0.644444
Slotdata	316	204	948	785.185	0.828254	0.64557
Slotdata	317	205	951	788.889	0.829536	0.646688
Slotdata	318	206	954	790.741	0.828869	0.647799
Slotdata	319	207	957	794.444	0.83014	0.648903
Slotdata	320	208	960	796.296	0.829475	0.65
Slotdata	321	209	963	798.148	0.828814	0.65109
Slotdata	322	210	966	800	0.828157	0.652174
Slotdata	323	210	969	800	0.825593	0.650155
Slotdata	324	210	972	800	0.823045	0.648148
Slotdata	325	211	975	803.704	0.824311	0.649231
Slotdata	326	212	978	805.556	0.823676	0.650307
Slotdata	327	213	981	807.407	0.823045	0.651376
Slotdata	328	214	984	811.111	0.8243	0.652439
Slotdata	329	215	987	812.963	0.823671	0.653495
Slotdata	330	216	990	814.815	0.823045	0.654545
Slotdata	331	217	993	816.667	0.822424	0.655589
Slotdata	332	217	996	816.667	0.819946	0.653614
Slotdata	333	218	999	818.519	0.819338	0.654655
Slotdata	334	219	1002	820.37	0.818733	0.655689
Slotdata	335	220	1005	824.074	0.819974	0.656716
Slotdata	336	221	1008	827.778	0.821208	0.657738
Slotdata	337	222	1011	877.778	0.868227	0.658754
Slotdata	338	223	1014	879.63	0.867485	0.659763
Slotdata	339	224	1017	881.481	0.866747	0.660767
Slotdata	340	225	1020	883.333	0.866013	0.661765
Slotdata	341	226	1023	885.185	0.865284	0.662757
Slotdata	342	227	1026	887.037	0.864559	0.663743
Slotdata	343	228	1029	890.741	0.865637	0.664723
Slotdata	344	229	1032	892.593	0.864915	0.665698
Slotdata	345	230	1035	894.444	0.864198	0.666667
Slotdata	346	231	1038	896.296	0.863484	0.66763
Slotdata	347	231	1041	896.296	0.860995	0.665706
Slotdata	348	232	1044	900	0.862069	0.666667
Slotdata	349	233	1047	901.852	0.861368	0.667622
Slotdata	350	234	1050	903.704	0.86067	0.668571
Slotdata	351	234	1053	903.704	0.858218	0.666667
Slotdata	352	235	1056	907.407	0.859287	0.667614
Slotdata	353	236	1059	909.259	0.858602	0.668555
Slotdata	354	237	1062	911.111	0.85792	0.669492
Slotdata	355	237	1065	911.111	0.855503	0.667606
Slotdata	356	238	1068	912.963	0.854834	0.668539
Slotdata	357	239	1071	916.667	0.855898	0.669468
Slotdata	358	240	1074	918.519	0.855231	0.670391
Slotdata	359	241	1077	920.37	0.854569	0.671309
Slotdata	360	241	1080	920.37	0.852195	0.669444
Slotdata	361	241	1083	920.37	0.849834	0.66759
Slotdata	362	242	1086	922.222	0.849192	0.668508
Slotdata	363	243	1089	925.926	0.850253	0.669421
Slotdata	364	244	1092	927.778	0.849613	0.67033
Slotdata	365	245	1095	933.333	0.852359	0.671233
Slotdata	366	246	1098	983.333	0.895568	0.672131
Slotdata	367	247	1101	985.185	0.894809	0.673025
Slotdata	368	247	1104	985.185	0.892378	0.671196
Slotdata	369	248	1107	987.037	0.891632	0.672087
Slotdata	370	249	1110	988.889	0.890891	0.672973
Slotdata	371	250	1113	990.741	0.890153	0.673854
Slotdata	372	251	1116	992.593	0.88942	0.674731
Slotdata	373	252	1119	994.444	0.88869	0.675603
Slotdata	374	252	1122	994.444	0.886314	0.673797
Slotdata	375	252	1125	994.444	0.883951	0.672
Slotdata	376	253	1128	998.148	0.884883	0.672872
Slotdata	377	254	1131	1000	0.884173	0.67374
Slotdata	378	255	1134	1001.85	0.883467	0.674603
Slotdata	379	255	1137	1001.85	0.881136	0.672823
Slotdata	380	256	1140	1005.56	0.882066	0.673684
Slotdata	381	257	1143	1055.56	0.923496	0.674541
Slotdata	382	258	1146	1059.26	0.92431	0.675393
Slotdata	383	259	1149	1062.96	0.92512	0.67624
Slotdata	384	259	1152	1062.96	0.922711	0.674479
Slotdata	385	260	1155	1064.81	0.921918	0.675325
Slotdata	386	261	1158	1066.67	0.921128	0.676166
Slotdata	387	262	1161	1068.52	0.920343	0.677003
Slotdata	388	262	1164	1068.52	0.917971	0.675258
Slotdata	389	263	1167	1070.37	0.917198	0.676093
Slotdata	390	264	1170	1074.07	0.918012	0.676923
Slotdata	391	265	1173	1077.78	0.918822	0.677749
Slotdata	392	266	1176	1079.63	0.918052	0.678571
Slotdata	393	267	1179	1081.48	0.917287	0.679389
Slotdata	394	268	1182	1083.33	0.916526	0.680203
Slotdata	395	269	1185	1085.19	0.915768	0.681013
Slotdata	396	270	1188	1088.89	0.916573	0.681818
Slotdata	397	270	1191	1088.89	0.914264	0.680101
Slotdata	398	271	1194	1090.74	0.913518	0.680905
Slotdata	399	272	1197	1092.59	0.912776	0.681704
Slotdata	400	273	1200	1094.44	0.912037	0.6825
Slotdata	401	274	1203	1096.3	0.911302	0.683292
Slotdata	402	274	1206	1096.3	0.909035	0.681592
Slotdata	403	274	1209	1096.3	0.906779	0.679901
Slotdata	404	275	1212	1098.15	0.906063	0.680693
Slotdata	405	276	1215	1100	0.90535	0.681481
Slotdata	406	277	1218	1101.85	0.90464	0.682266
Slotdata	407	278	1221	1103.7	0.903934	0.683047
Slotdata	408	279	1224	1105.56	0.903232	0.683824
Slotdata	409	279	1227	1105.56	0.901023	0.682152
Slotdata	410	280	1230	1107.41	0.900331	0.682927
Slotdata	411	280	1233	1107.41	0.898141	0.681265
Slotdata	412	281	1236	1109.26	0.897459	0.682039
Slotdata	413	282	1239	1114.81	0.89977	0.682809
Slotdata	414	283	1242	1116.67	0.899087	0.683575
Slotdata	415	284	1245	1118.52	0.898408	0.684337
Slotdata	416	284	1248	1118.52	0.896249	0.682692
Slotdata	417	284	1251	1118.52	0.8941	0.681055
Slotdata	418	285	1254	1120.37	0.893437	0.681818
Slotdata	419	286	1257	1122.22	0.892778	0.682578
Slotdata	420	287	1260	1172.22	0.930335	0.683333
Slotdata	421	288	1263	1174.07	0.929592	0.684085
Slotdata	422	289	1266	1175.93	0.928851	0.684834
Slotdata	423	289	1269	1175.93	0.926656	0.683215
Slotdata	424	290	1272	1177.78	0.925926	0.683962
Slotdata	425	291	1275	1181.48	0.926652	0.684706
Slotdata	426	292	1278	1183.33	0.925926	0.685446
Slotdata	427	292	1281	1183.33	0.923757	0.683841
Slotdata	428	292	1284	1183.33	0.921599	0.682243
Slotdata	429	293	1287	1187.04	0.922329	0.682984
Slotdata	430	294	1290	1188.89	0.921619	0.683721
Slotdata	431	295	1293	1190.74	0.920913	0.684455
Slotdata	432	296	1296	1192.59	0.92021	0.685185
Slotdata	433	297	1299	1194.44	0.919511	0.685912
Slotdata	434	298	1302	1198.15	0.920237	0.686636
Slotdata	435	299	1305	1201.85	0.920959	0.687356
Slotdata	436	300	1308	1203.7	0.920263	0.688073
Slotdata	437	300	1311	1203.7	0.918157	0.686499
Slotdata	438	301	1314	1205.56	0.91747	0.687215
Slotdata	439	301	1317	1205.56	0.91538	0.685649
Slotdata	440	302	1320	1207.41	0.914703	0.686364
Slotdata	441	303	1323	1209.26	0.914028	0.687075
Slotdata	442	304	1326	1212.96	0.914753	0.687783
Slotdata	443	305	1329	1218.52	0.916869	0.688488
Slotdata	444	306	1332	1220.37	0.916194	0.689189
Slotdata	445	307	1335	1222.22	0.915522	0.689888
Slotdata	446	308	1338	1225.93	0.916238	0.690583
Slotdata	447	309	1341	1229.63	0.91695	0.691275
Slotdata	448	310	1344	1231.48	0.916281	0.691964
Slotdata	449	311	1347	1235.19	0.91699	0.69265
Slotdata	450	312	1350	1237.04	0.916324	0.693333
Slotdata	451	313	1353	1238.89	0.915661	0.694013
Slotdata	452	314	1356	1240.74	0.915001	0.69469
Slotdata	453	315	1359	1242.59	0.914343	0.695364
Slotdata	454	316	1362	1244.44	0.913689	0.696035
Slotdata	455	316	1365	1244.44	0.911681	0.694506
Slotdata	456	316	1368	1244.44	0.909682	0.692982
Slotdata	457	317	1371	1248.15	0.910393	0.693654
Slotdata	458	317	1374	1248.15	0.908405	0.69214
Slotdata	459	317	1377	1248.15	0.906426	0.690632
Slotdata	460	318	1380	1250	0.905797	0.691304
Slotdata	461	319	1383	1300	0.939986	0.691974
Slotdata	462	320	1386	1303.7	0.940623	0.692641
Slotdata	463	321	1389	1305.56	0.939925	0.693305
Slotdata	464	321	1392	1305.56	0.937899	0.69181
Slotdata	465	322	1395	1307.41	0.93721	0.692473
Slotdata	466	323	1398	1309.26	0.936523	0.693133
Slotdata	467	324	1401	1359.26	0.970206	0.69379
Slotdata	468	324	1404	1359.26	0.968133	0.692308
Slotdata	469	324	1407	1359.26	0.966069	0.690832
Slotdata	470	325	1410	1361.11	0.965327	0.691489
Slotdata	471	325	1413	1361.11	0.963278	0.690021
Slotdata	472	326	1416	1362.96	0.962544	0.690678
Slotdata	473	327	1419	1364.81	0.961815	0.691332
Slotdata	474	327	1422	1364.81	0.959785	0.689873
Slotdata	475	328	1425	1366.67	0.959064	0.690526
Slotdata	476	329	1428	1368.52	0.958346	0.691176
Slotdata	477	329	1431	1368.52	0.956337	0.689727
Slotdata	478	329	1434	1368.52	0.954336	0.688285
Slotdata	479	329	1437	1368.52	0.952344	0.686848
Slotdata	480	330	1440	1370.37	0.951646	0.6875
Slotdata	481	331	1443	1372.22	0.950951	0.68815
Slotdata	482	331	1446	1372.22	0.948978	0.686722
Slotdata	483	332	1449	1374.07	0.948291	0.687371
Slotdata	484	333	1452	1377.78	0.948883	0.688017
Slotdata	485	333	1455	1377.78	0.946926	0.686598
Slotdata	486	333	1458	1377.78	0.944978	0.685185
Slotdata	487	334	1461	1379.63	0.944305	0.685832
Slotdata	488	335	1464	1381.48	0.943635	0.686475
Slotdata	489	336	1467	1383.33	0.942968	0.687117
Slotdata	490	337	1470	1385.19	0.942303	0.687755
Slotdata	491	337	1473	1385.19	0.940384	0.686354
Slotdata	492	338	1476	1387.04	0.939727	0.686992
Slotdata	493	339	1479	1437.04	0.971627	0.687627
Slotdata	494	340	1482	1440.74	0.97216	0.688259
Slotdata	495	341	1485	1442.59	0.971443	0.688889
Slotdata	496	342	1488	1444.44	0.970729	0.689516
Slotdata	497	343	1491	1446.3	0.970018	0.690141
Slotdata	498	344	1494	1448.15	0.969309	0.690763
Slotdata	499	344	1497	1448.15	0.967367	0.689379
Slotdata	500	344	1500	1448.15	0.965432	0.688
Slotdata	501	344	1503	1448.15	0.963505	0.686627
Slotdata	502	345	1506	1450	0.962815	0.687251
Slotdata	503	346	1509	1451.85	0.962128	0.687873
Slotdata	504	347	1512	1455.56	0.962669	0.688492
Slotdata	505	347	1515	1455.56	0.960763	0.687129
Slotdata	506	348	1518	1459.26	0.961304	0.687747
Slotdata	507	349	1521	1461.11	0.960625	0.688363
Slotdata	508	350	1524	1462.96	0.959949	0.688976
Slotdata	509	351	1527	1512.96	0.990807	0.689587
Slotdata	510	351	1530	1512.96	0.988865	0.688235
Slotdata	511	352	1533	1516.67	0.989346	0.688845
Slotdata	512	353	1536	1520.37	0.989824	0.689453
Slotdata	513	354	1539	1522.22	0.989098	0.690058
Slotdata	514	355	1542	1524.07	0.988375	0.690661
Slotdata	515	356	1545	1527.78	0.988853	0.691262
Slotdata	516	357	1548	1529.63	0.988133	0.69186
Slotdata	517	358	1551	1531.48	0.987416	0.692456
Slotdata	518	359	1554	1581.48	1.01768	0.69305
Slotdata	519	360	1557	1583.33	1.01691	0.693642
Slotdata	520	360	1560	1583.33	1.01496	0.692308
Slotdata	521	361	1563	1585.19	1.01419	0.692898
Slotdata	522	362	1566	1588.89	1.01462	0.693487
